# Atomic ae- and pseudo- wavefunctions
#local 2 
#l=0 r_rec=1.40
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 -0.3600000000E+02 -0.3600000000E+02
0.1152365305E-05 0.1789817487E-04 0.6552980053E-06 -0.3598057439E+02 0.3814337096E-05
0.2314373779E-05 0.3593249110E-04 0.1316079644E-05 -0.3608228196E+02 0.7660593146E-05
0.3486106117E-05 0.5411243208E-04 0.1982390804E-05 -0.3602964134E+02 0.1153903525E-04
0.4667643689E-05 0.7244098521E-04 0.2654277757E-05 -0.3577779194E+02 0.1544993275E-04
0.5859068547E-05 0.9084020119E-04 0.3331787163E-05 -0.3609022231E+02 0.1939355724E-04
0.7060463430E-05 0.1093491897E-03 0.4014966070E-05 -0.3596123416E+02 0.2337018257E-04
0.8271911768E-05 0.1279868448E-03 0.4703861923E-05 -0.3600694232E+02 0.2738008491E-04
0.9493497690E-05 0.1467464135E-03 0.5398522561E-05 -0.3599820686E+02 0.3142354273E-04
0.1072530603E-04 0.1656372352E-03 0.6098996225E-05 -0.3599993610E+02 0.3550083681E-04
0.1196742233E-04 0.1846634842E-03 0.6805331559E-05 -0.3599976094E+02 0.3961225031E-04
0.1321993285E-04 0.2038287264E-03 0.7517577615E-05 -0.3600030385E+02 0.4375806875E-04
0.1448292456E-04 0.2231360032E-03 0.8235783854E-05 -0.3600056070E+02 0.4793858003E-04
0.1575648518E-04 0.2425879945E-03 0.8960000153E-05 -0.3600095523E+02 0.5215407446E-04
0.1704070316E-04 0.2621871223E-03 0.9690276804E-05 -0.3600138116E+02 0.5640484479E-04
0.1833566766E-04 0.2819356212E-03 0.1042666452E-04 -0.3600186361E+02 0.6069118621E-04
0.1964146862E-04 0.3018355850E-03 0.1116921444E-04 -0.3600240200E+02 0.6501339639E-04
0.2095819673E-04 0.3218890006E-03 0.1191797814E-04 -0.3600299609E+02 0.6937177548E-04
0.2228594341E-04 0.3420977718E-03 0.1267300760E-04 -0.3600364560E+02 0.7376662615E-04
0.2362480088E-04 0.3624637378E-03 0.1343435526E-04 -0.3600434875E+02 0.7819825361E-04
0.2497486212E-04 0.3829886867E-03 0.1420207400E-04 -0.3600510332E+02 0.8266696559E-04
0.2633622087E-04 0.4036743662E-03 0.1497621712E-04 -0.3600590633E+02 0.8717307244E-04
0.2770897168E-04 0.4245224917E-03 0.1575683839E-04 -0.3600675429E+02 0.9171688707E-04
0.2909320988E-04 0.4455347535E-03 0.1654399202E-04 -0.3600764316E+02 0.9629872504E-04
0.3048903159E-04 0.4667128216E-03 0.1733773267E-04 -0.3600856853E+02 0.1009189045E-03
0.3189653376E-04 0.4880583507E-03 0.1813811546E-04 -0.3600952559E+02 0.1055777464E-03
0.3331581411E-04 0.5095729832E-03 0.1894519598E-04 -0.3601050928E+02 0.1102755741E-03
0.3474697122E-04 0.5312583530E-03 0.1975903027E-04 -0.3601151431E+02 0.1150127140E-03
0.3619010447E-04 0.5531160872E-03 0.2057967485E-04 -0.3601253525E+02 0.1197894950E-03
0.3764531408E-04 0.5751478092E-03 0.2140718671E-04 -0.3601356659E+02 0.1246062488E-03
0.3911270110E-04 0.5973551399E-03 0.2224162332E-04 -0.3601460283E+02 0.1294633100E-03
0.4059236744E-04 0.6197396994E-03 0.2308304262E-04 -0.3601563850E+02 0.1343610158E-03
0.4208441586E-04 0.6423031088E-03 0.2393150304E-04 -0.3601666826E+02 0.1392997063E-03
0.4358894996E-04 0.6650469911E-03 0.2478706351E-04 -0.3601768693E+02 0.1442797245E-03
0.4510607423E-04 0.6879729722E-03 0.2564978344E-04 -0.3601868955E+02 0.1493014163E-03
0.4663589404E-04 0.7110826823E-03 0.2651972274E-04 -0.3601967144E+02 0.1543651304E-03
0.4817851560E-04 0.7343777560E-03 0.2739694183E-04 -0.3602062819E+02 0.1594712184E-03
0.4973404606E-04 0.7578598339E-03 0.2828150162E-04 -0.3602155577E+02 0.1646200349E-03
0.5130259343E-04 0.7815305628E-03 0.2917346354E-04 -0.3602245049E+02 0.1698119375E-03
0.5288426665E-04 0.8053915963E-03 0.3007288954E-04 -0.3602330905E+02 0.1750472868E-03
0.5447917554E-04 0.8294445956E-03 0.3097984207E-04 -0.3602412857E+02 0.1803264462E-03
0.5608743088E-04 0.8536912298E-03 0.3189438411E-04 -0.3602490659E+02 0.1856497824E-03
0.5770914435E-04 0.8781331766E-03 0.3281657919E-04 -0.3602564106E+02 0.1910176652E-03
0.5934442856E-04 0.9027721223E-03 0.3374649133E-04 -0.3602633036E+02 0.1964304672E-03
0.6099339707E-04 0.9276097629E-03 0.3468418512E-04 -0.3602697330E+02 0.2018885643E-03
0.6265616441E-04 0.9526478037E-03 0.3562972568E-04 -0.3602756911E+02 0.2073923356E-03
0.6433284603E-04 0.9778879603E-03 0.3658317866E-04 -0.3602811740E+02 0.2129421634E-03
0.6602355839E-04 0.1003331958E-02 0.3754461028E-04 -0.3602861820E+02 0.2185384329E-03
0.6772841888E-04 0.1028981534E-02 0.3851408731E-04 -0.3602907187E+02 0.2241815329E-03
0.6944754590E-04 0.1054838436E-02 0.3949167708E-04 -0.3602947915E+02 0.2298718551E-03
0.7118105884E-04 0.1080904421E-02 0.4047744746E-04 -0.3602984110E+02 0.2356097949E-03
0.7292907808E-04 0.1107181261E-02 0.4147146692E-04 -0.3603015906E+02 0.2413957506E-03
0.7469172501E-04 0.1133670736E-02 0.4247380449E-04 -0.3603043466E+02 0.2472301241E-03
0.7646912204E-04 0.1160374640E-02 0.4348452977E-04 -0.3603066977E+02 0.2531133205E-03
0.7826139260E-04 0.1187294780E-02 0.4450371295E-04 -0.3603086648E+02 0.2590457484E-03
0.8006866115E-04 0.1214432973E-02 0.4553142482E-04 -0.3603102705E+02 0.2650278198E-03
0.8189105320E-04 0.1241791051E-02 0.4656773674E-04 -0.3603115393E+02 0.2710599500E-03
0.8372869530E-04 0.1269370857E-02 0.4761272067E-04 -0.3603124969E+02 0.2771425580E-03
0.8558171508E-04 0.1297174248E-02 0.4866644919E-04 -0.3603131698E+02 0.2832760662E-03
0.8745024120E-04 0.1325203093E-02 0.4972899547E-04 -0.3603135855E+02 0.2894609005E-03
0.8933440343E-04 0.1353459276E-02 0.5080043330E-04 -0.3603137720E+02 0.2956974905E-03
0.9123433262E-04 0.1381944693E-02 0.5188083709E-04 -0.3603137575E+02 0.3019862692E-03
0.9315016071E-04 0.1410661256E-02 0.5297028186E-04 -0.3603135702E+02 0.3083276734E-03
0.9508202074E-04 0.1439610888E-02 0.5406884327E-04 -0.3603132381E+02 0.3147221434E-03
0.9703004687E-04 0.1468795528E-02 0.5517659761E-04 -0.3603127888E+02 0.3211701233E-03
0.9899437437E-04 0.1498217129E-02 0.5629362181E-04 -0.3603122493E+02 0.3276720608E-03
0.1009751397E-03 0.1527877658E-02 0.5741999344E-04 -0.3603116459E+02 0.3342284076E-03
0.1029724803E-03 0.1557779097E-02 0.5855579072E-04 -0.3603110038E+02 0.3408396189E-03
0.1049865350E-03 0.1587923442E-02 0.5970109253E-04 -0.3603103472E+02 0.3475061538E-03
0.1070174436E-03 0.1618312705E-02 0.6085597840E-04 -0.3603096992E+02 0.3542284753E-03
0.1090653472E-03 0.1648948912E-02 0.6202052853E-04 -0.3603090815E+02 0.3610070502E-03
0.1111303879E-03 0.1679834105E-02 0.6319482379E-04 -0.3603085144E+02 0.3678423492E-03
0.1132127092E-03 0.1710970341E-02 0.6437894574E-04 -0.3603080167E+02 0.3747348471E-03
0.1153124557E-03 0.1742359692E-02 0.6557297660E-04 -0.3603076058E+02 0.3816850224E-03
0.1174297732E-03 0.1774004248E-02 0.6677699930E-04 -0.3603072974E+02 0.3886933579E-03
0.1195648087E-03 0.1805906112E-02 0.6799109744E-04 -0.3603071057E+02 0.3957603402E-03
0.1217177105E-03 0.1838067404E-02 0.6921535534E-04 -0.3603070431E+02 0.4028864600E-03
0.1238886282E-03 0.1870490260E-02 0.7044985802E-04 -0.3603071207E+02 0.4100722123E-03
0.1260777124E-03 0.1903176834E-02 0.7169469121E-04 -0.3603073476E+02 0.4173180961E-03
0.1282851152E-03 0.1936129294E-02 0.7294994136E-04 -0.3603077317E+02 0.4246246146E-03
0.1305109898E-03 0.1969349826E-02 0.7421569563E-04 -0.3603082789E+02 0.4319922751E-03
0.1327554910E-03 0.2002840632E-02 0.7549204193E-04 -0.3603089940E+02 0.4394215893E-03
0.1350187744E-03 0.2036603932E-02 0.7677906889E-04 -0.3603098800E+02 0.4469130731E-03
0.1373009974E-03 0.2070641961E-02 0.7807686589E-04 -0.3603109386E+02 0.4544672468E-03
0.1396023183E-03 0.2104956975E-02 0.7938552305E-04 -0.3603121702E+02 0.4620846350E-03
0.1419228971E-03 0.2139551242E-02 0.8070513126E-04 -0.3603135738E+02 0.4697657667E-03
0.1442628948E-03 0.2174427053E-02 0.8203578216E-04 -0.3603151473E+02 0.4775111752E-03
0.1466224740E-03 0.2209586713E-02 0.8337756815E-04 -0.3603168871E+02 0.4853213985E-03
0.1490017985E-03 0.2245032546E-02 0.8473058241E-04 -0.3603187890E+02 0.4931969789E-03
0.1514010335E-03 0.2280766894E-02 0.8609491890E-04 -0.3603208475E+02 0.5011384634E-03
0.1538203457E-03 0.2316792117E-02 0.8747067237E-04 -0.3603230563E+02 0.5091464034E-03
0.1562599031E-03 0.2353110594E-02 0.8885793836E-04 -0.3603254081E+02 0.5172213551E-03
0.1587198750E-03 0.2389724720E-02 0.9025681320E-04 -0.3603278951E+02 0.5253638793E-03
0.1612004324E-03 0.2426636912E-02 0.9166739405E-04 -0.3603305086E+02 0.5335745413E-03
0.1637017475E-03 0.2463849603E-02 0.9308977885E-04 -0.3603332395E+02 0.5418539113E-03
0.1662239939E-03 0.2501365246E-02 0.9452406639E-04 -0.3603360782E+02 0.5502025644E-03
0.1687673469E-03 0.2539186313E-02 0.9597035627E-04 -0.3603390144E+02 0.5586210803E-03
0.1713319830E-03 0.2577315296E-02 0.9742874893E-04 -0.3603420377E+02 0.5671100437E-03
0.1739180805E-03 0.2615754705E-02 0.9889934564E-04 -0.3603451375E+02 0.5756700439E-03
0.1765258187E-03 0.2654507069E-02 0.1003822485E-03 -0.3603483026E+02 0.5843016756E-03
