# Atomic ae- and pseudo- wavefunctions
#local 2
#l=0 r_rec=0.90
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 -0.5400000000E+02 -0.5400000000E+02
0.7682435370E-06 0.3026572498E-04 0.1203354737E-05 -0.5399603730E+02 -0.7595504792E-06
0.1542915853E-05 0.6073300687E-04 0.2416779329E-05 -0.5401161116E+02 -0.1525456992E-05
0.2324070745E-05 0.9143530164E-04 0.3640358043E-05 -0.5400161923E+02 -0.2297772728E-05
0.3111762459E-05 0.1223813062E-03 0.4874175850E-05 -0.5398637732E+02 -0.3076551319E-05
0.3906045698E-05 0.1533378065E-03 0.6118318432E-05 -0.5399008619E+02 -0.3861846848E-05
0.4706975620E-05 0.1843388464E-03 0.7372872189E-05 -0.5400207406E+02 -0.4653713849E-05
0.5514607846E-05 0.2154964527E-03 0.8637924242E-05 -0.5399770631E+02 -0.5452207315E-05
0.6328998460E-05 0.2467895317E-03 0.9913562444E-05 -0.5399919370E+02 -0.6257382694E-05
0.7150204020E-05 0.2782490051E-03 0.1119987538E-04 -0.5399881849E+02 -0.7069295904E-05
0.7978281552E-05 0.3098879472E-03 0.1249695238E-04 -0.5399868664E+02 -0.7888003328E-05
0.8813288564E-05 0.3417173888E-03 0.1380488352E-04 -0.5399861848E+02 -0.8713561819E-05
0.9655283041E-05 0.3737460332E-03 0.1512375962E-04 -0.5399851035E+02 -0.9546028710E-05
0.1050432346E-04 0.4059812770E-03 0.1645367228E-04 -0.5399842124E+02 -0.1038546181E-04
0.1136046877E-04 0.4384294878E-03 0.1779471385E-04 -0.5399833465E+02 -0.1123191942E-04
0.1222377844E-04 0.4710962982E-03 0.1914697746E-04 -0.5399825631E+02 -0.1208546031E-04
0.1309431241E-04 0.5039867801E-03 0.2051055702E-04 -0.5399818567E+02 -0.1294614376E-04
0.1397213115E-04 0.5371055736E-03 0.2188554722E-04 -0.5399812372E+02 -0.1381402954E-04
0.1485729561E-04 0.5704569791E-03 0.2327204355E-04 -0.5399807100E+02 -0.1468917792E-04
0.1574986726E-04 0.6040450262E-03 0.2467014229E-04 -0.5399802807E+02 -0.1557164967E-04
0.1664990808E-04 0.6378735257E-03 0.2607994054E-04 -0.5399799545E+02 -0.1646150609E-04
0.1755748058E-04 0.6719461102E-03 0.2750153619E-04 -0.5399797362E+02 -0.1735880896E-04
0.1847264779E-04 0.7062662657E-03 0.2893502797E-04 -0.5399796304E+02 -0.1826362059E-04
0.1939547325E-04 0.7408373566E-03 0.3038051543E-04 -0.5399796411E+02 -0.1917600383E-04
0.2032602106E-04 0.7756626463E-03 0.3183809894E-04 -0.5399797720E+02 -0.2009602202E-04
0.2126435584E-04 0.8107453139E-03 0.3330787974E-04 -0.5399800267E+02 -0.2102373907E-04
0.2221054274E-04 0.8460884675E-03 0.3478995989E-04 -0.5399804079E+02 -0.2195921940E-04
0.2316464748E-04 0.8816951559E-03 0.3628444231E-04 -0.5399809184E+02 -0.2290252797E-04
0.2412673631E-04 0.9175683780E-03 0.3779143079E-04 -0.5399815604E+02 -0.2385373029E-04
0.2509687605E-04 0.9537110911E-03 0.3931102997E-04 -0.5399823355E+02 -0.2481289242E-04
0.2607513407E-04 0.9901262176E-03 0.4084334540E-04 -0.5399832450E+02 -0.2578008096E-04
0.2706157830E-04 0.1026816651E-02 0.4238848347E-04 -0.5399842900E+02 -0.2675536308E-04
