# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.10
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 -0.1800000000E+02 -0.1800000000E+02
0.2304730611E-05 -0.2984953020E-04 0.4044061209E-05 -0.1798603997E+02 -0.1023015177E-04
0.4628747559E-05 -0.5994294045E-04 0.8121963738E-05 -0.1789770518E+02 -0.2054591101E-04
0.6972212234E-05 -0.9028574630E-04 0.1223399078E-04 -0.1787612044E+02 -0.3094799409E-04
0.9335287378E-05 -0.1208807693E-03 0.1638042788E-04 -0.1831054199E+02 -0.4143712339E-04
0.1171813709E-04 -0.1516569433E-03 0.2056156300E-04 -0.1792559463E+02 -0.5201402732E-04
0.1412092686E-04 -0.1827005962E-03 0.2477768650E-04 -0.1813585811E+02 -0.6267944039E-04
0.1654382354E-04 -0.2139948233E-03 0.2902909116E-04 -0.1786192630E+02 -0.7343410326E-04
0.1898699538E-04 -0.2455351000E-03 0.3331607222E-04 -0.1803788738E+02 -0.8427876278E-04
0.2145061206E-04 -0.2773271636E-03 0.3763892740E-04 -0.1800541822E+02 -0.9521417207E-04
0.2393484466E-04 -0.3093748625E-03 0.4199795688E-04 -0.1801357453E+02 -0.1062410905E-03
0.2643986569E-04 -0.3416811285E-03 0.4639346338E-04 -0.1802307580E+02 -0.1173602839E-03
0.2896584912E-04 -0.3742488618E-03 0.5082575215E-04 -0.1802354536E+02 -0.1285725244E-03
0.3151297037E-04 -0.4070809145E-03 0.5529513099E-04 -0.1802873948E+02 -0.1398785906E-03
0.3408140631E-04 -0.4401799446E-03 0.5980191027E-04 -0.1803049452E+02 -0.1512792677E-03
0.3667133532E-04 -0.4735486061E-03 0.6434640296E-04 -0.1803295425E+02 -0.1627753475E-03
0.3928293724E-04 -0.5071894811E-03 0.6892892466E-04 -0.1803437223E+02 -0.1743676281E-03
0.4191639345E-04 -0.5411051335E-03 0.7354979360E-04 -0.1803545698E+02 -0.1860569147E-03
0.4457188682E-04 -0.5752981023E-03 0.7820933067E-04 -0.1803607834E+02 -0.1978440191E-03
0.4724960177E-04 -0.6097709154E-03 0.8290785946E-04 -0.1803631583E+02 -0.2097297597E-03
0.4994972424E-04 -0.6445260937E-03 0.8764570625E-04 -0.1803624350E+02 -0.2217149620E-03
0.5267244175E-04 -0.6795661553E-03 0.9242320007E-04 -0.1803590486E+02 -0.2338004584E-03
0.5541794337E-04 -0.7148936199E-03 0.9724067268E-04 -0.1803536499E+02 -0.2459870880E-03
0.5818641976E-04 -0.7505110106E-03 0.1020984586E-03 -0.1803467264E+02 -0.2582756971E-03
0.6097806319E-04 -0.7864208572E-03 0.1069968953E-03 -0.1803387747E+02 -0.2706671392E-03
0.6379306752E-04 -0.8226256976E-03 0.1119363228E-03 -0.1803302198E+02 -0.2831622748E-03
0.6663162822E-04 -0.8591280794E-03 0.1169170842E-03 -0.1803214382E+02 -0.2957619716E-03
0.6949394244E-04 -0.8959305618E-03 0.1219395253E-03 -0.1803127506E+02 -0.3084671046E-03
0.7238020894E-04 -0.9330357161E-03 0.1270039950E-03 -0.1803044251E+02 -0.3212785560E-03
0.7529062816E-04 -0.9704461273E-03 0.1321108450E-03 -0.1802966804E+02 -0.3341972157E-03
0.7822540220E-04 -0.1008164395E-02 0.1372604298E-03 -0.1802896893E+02 -0.3472239806E-03
0.8118473489E-04 -0.1046193133E-02 0.1424531072E-03 -0.1802835834E+02 -0.3603597555E-03
0.8416883172E-04 -0.1084534972E-02 0.1476892377E-03 -0.1802784576E+02 -0.3736054526E-03
0.8717789992E-04 -0.1123192560E-02 0.1529691849E-03 -0.1802743745E+02 -0.3869619916E-03
0.9021214847E-04 -0.1162168560E-02 0.1582933155E-03 -0.1802713692E+02 -0.4004303002E-03
0.9327178807E-04 -0.1201465655E-02 0.1636619992E-03 -0.1802694529E+02 -0.4140113137E-03
0.9635703120E-04 -0.1241086544E-02 0.1690756090E-03 -0.1802686172E+02 -0.4277059752E-03
0.9946809211E-04 -0.1281033946E-02 0.1745345206E-03 -0.1802688371E+02 -0.4415152357E-03
0.1026051869E-03 -0.1321310600E-02 0.1800391132E-03 -0.1802700748E+02 -0.4554400541E-03
0.1057685333E-03 -0.1361919263E-02 0.1855897691E-03 -0.1802722816E+02 -0.4694813976E-03
0.1089583511E-03 -0.1402862712E-02 0.1911868737E-03 -0.1802754012E+02 -0.4836402412E-03
