# Atomic ae- and pseudo- wavefunctions
#local 2
#l=0 r_rec=0.90
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 -0.5200000000E+02 -0.5200000000E+02
0.7977913653E-06 0.2844377793E-04 0.1052238764E-05 -0.5199530841E+02 0.3848872439E-05
0.1602258770E-05 0.5708049877E-04 0.2113282822E-05 -0.5201432731E+02 0.7729952829E-05
0.2413458081E-05 0.8593946072E-04 0.3183205858E-05 -0.5200181323E+02 0.1164351069E-04
0.3231445631E-05 0.1150283887E-03 0.4262082173E-05 -0.5198119586E+02 0.1558981780E-04
0.4056278225E-05 0.1441405313E-03 0.5349986689E-05 -0.5199182616E+02 0.1956914821E-04
0.4888013144E-05 0.1733119001E-03 0.6446994955E-05 -0.5200126806E+02 0.2358177826E-04
0.5726708147E-05 0.2026378599E-03 0.7553183154E-05 -0.5199787796E+02 0.2762798661E-04
0.6572421478E-05 0.2320997996E-03 0.8668628105E-05 -0.5199918680E+02 0.3170805424E-04
0.7425211867E-05 0.2617249150E-03 0.9793407268E-05 -0.5199885872E+02 0.3582226451E-04
0.8285138535E-05 0.2915247404E-03 0.1092759876E-04 -0.5199872460E+02 0.3997090311E-04
0.9152261201E-05 0.3215090333E-03 0.1207128133E-04 -0.5199867645E+02 0.4415425815E-04
0.1002664008E-04 0.3516855306E-03 0.1322453441E-04 -0.5199857953E+02 0.4837262014E-04
0.1090833590E-04 0.3820608314E-03 0.1438743809E-04 -0.5199850632E+02 0.5262628203E-04
0.1179740988E-04 0.4126406398E-03 0.1556007313E-04 -0.5199843644E+02 0.5691553920E-04
0.1269392376E-04 0.4434300210E-03 0.1674252096E-04 -0.5199837694E+02 0.6124068954E-04
0.1359793982E-04 0.4744335530E-03 0.1793486368E-04 -0.5199832712E+02 0.6560203339E-04
0.1450952081E-04 0.5056554391E-03 0.1913718412E-04 -0.5199828815E+02 0.6999987363E-04
0.1542873005E-04 0.5370995876E-03 0.2034956575E-04 -0.5199826063E+02 0.7443451566E-04
