# Atomic ae- and pseudo- wavefunctions
#local 2 
#l=0 r_rec=1.60
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 -0.7200000000E+02 -0.7200000000E+02
0.5761826527E-06 -0.1537261319E-04 0.2253313267E-06 -0.7199890748E+02 0.2241217112E-05
0.1157186890E-05 -0.3082726565E-04 0.4525482602E-06 -0.7200193920E+02 0.4501189070E-05
0.1743053058E-05 -0.4639335788E-04 0.6816665796E-06 -0.7200139606E+02 0.6780072818E-05
0.2333821844E-05 -0.6207789976E-04 0.9127021959E-06 -0.7199917956E+02 0.9078026611E-05
0.2929534274E-05 -0.7769075734E-04 0.1145671154E-05 -0.7199041314E+02 0.1139521003E-04
0.3530231715E-05 -0.9322601357E-04 0.1380589631E-05 -0.7200219595E+02 0.1373178400E-04
0.4135955884E-05 -0.1087980501E-03 0.1617473942E-05 -0.7199761520E+02 0.1608791077E-04
0.4746748845E-05 -0.1243891847E-03 0.1856340536E-05 -0.7199880569E+02 0.1846375396E-04
0.5362653015E-05 -0.1400259281E-03 0.2097206003E-05 -0.7199837803E+02 0.2085947858E-04
0.5983711164E-05 -0.1557193216E-03 0.2340087069E-05 -0.7199820950E+02 0.2327525098E-04
0.6609966423E-05 -0.1714784951E-03 0.2585000600E-05 -0.7199803597E+02 0.2571123894E-04
0.7241462281E-05 -0.1873104455E-03 0.2831963606E-05 -0.7199785308E+02 0.2816761161E-04
0.7878242592E-05 -0.2032209719E-03 0.3080993235E-05 -0.7199767256E+02 0.3064453959E-04
0.8520351578E-05 -0.2192149344E-03 0.3332106782E-05 -0.7199749121E+02 0.3314219487E-04
0.9167833829E-05 -0.2352965171E-03 0.3585321685E-05 -0.7199731015E+02 0.3566075091E-04
0.9820734311E-05 -0.2514693887E-03 0.3840655530E-05 -0.7199712928E+02 0.3820038262E-04
0.1047909836E-04 -0.2677368187E-03 0.4098126047E-05 -0.7199694881E+02 0.4076126635E-04
0.1114297171E-04 -0.2841017617E-03 0.4357751116E-05 -0.7199676886E+02 0.4334357994E-04
0.1181240044E-04 -0.3005669191E-03 0.4619548767E-05 -0.7199658958E+02 0.4594750272E-04
0.1248743106E-04 -0.3171347874E-03 0.4883537181E-05 -0.7199641109E+02 0.4857321553E-04
0.1316811044E-04 -0.3338076938E-03 0.5149734690E-05 -0.7199623353E+02 0.5122090071E-04
0.1385448584E-04 -0.3505878257E-03 0.5418159781E-05 -0.7199605702E+02 0.5389074211E-04
0.1454660494E-04 -0.3674772529E-03 0.5688831094E-05 -0.7199588171E+02 0.5658292516E-04
0.1524451580E-04 -0.3844779465E-03 0.5961767425E-05 -0.7199570770E+02 0.5929763680E-04
0.1594826688E-04 -0.4015917933E-03 0.6236987729E-05 -0.7199553514E+02 0.6203506556E-04
0.1665790706E-04 -0.4188206087E-03 0.6514511119E-05 -0.7199536415E+02 0.6479540154E-04
0.1737348561E-04 -0.4361661465E-03 0.6794356866E-05 -0.7199519485E+02 0.6757883644E-04
0.1809505224E-04 -0.4536301078E-03 0.7076544405E-05 -0.7199502736E+02 0.7038556354E-04
0.1882265704E-04 -0.4712141480E-03 0.7361093333E-05 -0.7199486181E+02 0.7321577776E-04
0.1955635055E-04 -0.4889198833E-03 0.7648023409E-05 -0.7199469832E+02 0.7606967565E-04
0.2029618372E-04 -0.5067488955E-03 0.7937354560E-05 -0.7199453701E+02 0.7894745538E-04
0.2104220793E-04 -0.5247027371E-03 0.8229106879E-05 -0.7199437798E+02 0.8184931682E-04
0.2179447498E-04 -0.5427829348E-03 0.8523300624E-05 -0.7199422136E+02 0.8477546147E-04
0.2255303712E-04 -0.5609909931E-03 0.8819956229E-05 -0.7199406725E+02 0.8772609255E-04
0.2331794702E-04 -0.5793283974E-03 0.9119094292E-05 -0.7199391575E+02 0.9070141495E-04
0.2408925780E-04 -0.5977966164E-03 0.9420735588E-05 -0.7199376698E+02 0.9370163531E-04
0.2486702303E-04 -0.6163971049E-03 0.9724901065E-05 -0.7199362102E+02 0.9672696197E-04
0.2565129672E-04 -0.6351313051E-03 0.1003161184E-04 -0.7199347798E+02 0.9977760502E-04
0.2644213332E-04 -0.6540006495E-03 0.1034088923E-04 -0.7199333794E+02 0.1028537763E-03
0.2723958777E-04 -0.6730065614E-03 0.1065275469E-04 -0.7199320099E+02 0.1059556895E-03
0.2804371544E-04 -0.6921504574E-03 0.1096722989E-04 -0.7199306721E+02 0.1090835599E-03
0.2885457217E-04 -0.7114337480E-03 0.1128433666E-04 -0.7199293668E+02 0.1122376049E-03
0.2967221428E-04 -0.7308578393E-03 0.1160409704E-04 -0.7199280946E+02 0.1154180434E-03
0.3049669854E-04 -0.7504241337E-03 0.1192653322E-04 -0.7199268562E+02 0.1186250962E-03
0.3132808220E-04 -0.7701340312E-03 0.1225166759E-04 -0.7199256523E+02 0.1218589862E-03
0.3216642302E-04 -0.7899889303E-03 0.1257952274E-04 -0.7199244833E+02 0.1251199379E-03
0.3301177919E-04 -0.8099902286E-03 0.1291012143E-04 -0.7199233497E+02 0.1284081776E-03
0.3386420944E-04 -0.8301393238E-03 0.1324348661E-04 -0.7199222518E+02 0.1317239339E-03
