# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.40
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 -0.2000000000E+02 -0.2000000000E+02
0.2074257550E-05 -0.3176717898E-04 0.5076755699E-05 -0.2000264967E+02 -0.2014124131E-04
0.4165872803E-05 -0.6379244366E-04 0.1019599446E-04 -0.1984648162E+02 -0.4045102760E-04
0.6274991010E-05 -0.9608251806E-04 0.1535807179E-04 -0.1994885056E+02 -0.6093076927E-04
0.8401758640E-05 -0.1286405821E-03 0.2056334617E-04 -0.2025892671E+02 -0.8158188853E-04
0.1054632339E-04 -0.1613861041E-03 0.2581217908E-04 -0.1990530144E+02 -0.1024058195E-03
0.1270883417E-04 -0.1944094531E-03 0.3110493502E-04 -0.2010802588E+02 -0.1234040083E-03
0.1488944118E-04 -0.2276963291E-03 0.3644198155E-04 -0.1990738431E+02 -0.1445779131E-03
0.1708829584E-04 -0.2612414658E-03 0.4182368929E-04 -0.2002211909E+02 -0.1659290044E-03
0.1930555085E-04 -0.2950519300E-03 0.4725043199E-04 -0.2000609420E+02 -0.1874587649E-03
0.2154136019E-04 -0.3291319004E-03 0.5272258649E-04 -0.2001015606E+02 -0.2091686897E-03
0.2379587912E-04 -0.3634848355E-03 0.5824053280E-04 -0.2001793676E+02 -0.2310602864E-03
0.2606926421E-04 -0.3981139779E-03 0.6380465414E-04 -0.2001928042E+02 -0.2531350754E-03
0.2836167333E-04 -0.4330224919E-03 0.6941533688E-04 -0.2002373972E+02 -0.2753945896E-03
0.3067326568E-04 -0.4682133265E-03 0.7507297067E-04 -0.2002622810E+02 -0.2978403747E-03
0.3300420179E-04 -0.5036893886E-03 0.8077794840E-04 -0.2002905785E+02 -0.3204739896E-03
0.3535464352E-04 -0.5394535032E-03 0.8653066625E-04 -0.2003127117E+02 -0.3432970061E-03
0.3772475411E-04 -0.5755084585E-03 0.9233152371E-04 -0.2003319223E+02 -0.3663110090E-03
0.4011469814E-04 -0.6118570092E-03 0.9818092363E-04 -0.2003473915E+02 -0.3895175966E-03
0.4252464159E-04 -0.6485018896E-03 0.1040792722E-03 -0.2003593004E+02 -0.4129183804E-03
0.4495475182E-04 -0.6854458202E-03 0.1100269791E-03 -0.2003679350E+02 -0.4365149856E-03
0.4740519757E-04 -0.7226915140E-03 0.1160244572E-03 -0.2003734677E+02 -0.4603090507E-03
0.4987614903E-04 -0.7602416805E-03 0.1220721232E-03 -0.2003762439E+02 -0.4843022282E-03
0.5236777779E-04 -0.7980990301E-03 0.1281703970E-03 -0.2003765738E+02 -0.5084961843E-03
0.5488025687E-04 -0.8362662764E-03 0.1343197020E-03 -0.2003748109E+02 -0.5328925991E-03
0.5741376076E-04 -0.8747461394E-03 0.1405204654E-03 -0.2003713021E+02 -0.5574931668E-03
0.5996846540E-04 -0.9135413468E-03 0.1467731177E-03 -0.2003663895E+02 -0.5822995958E-03
0.6254454820E-04 -0.9526546364E-03 0.1530780931E-03 -0.2003603998E+02 -0.6073136087E-03
0.6514218805E-04 -0.9920887575E-03 0.1594358295E-03 -0.2003536382E+02 -0.6325369428E-03
0.6776156534E-04 -0.1031846472E-02 0.1658467684E-03 -0.2003463852E+02 -0.6579713495E-03
0.7040286198E-04 -0.1071930555E-02 0.1723113550E-03 -0.2003388933E+02 -0.6836185952E-03
0.7306626140E-04 -0.1112343797E-02 0.1788300383E-03 -0.2003313863E+02 -0.7094804610E-03
0.7575194855E-04 -0.1153089005E-02 0.1854032709E-03 -0.2003240588E+02 -0.7355587428E-03
0.7846010993E-04 -0.1194169002E-02 0.1920315093E-03 -0.2003170772E+02 -0.7618552516E-03
0.8119093362E-04 -0.1235586626E-02 0.1987152138E-03 -0.2003105805E+02 -0.7883718136E-03
0.8394460926E-04 -0.1277344736E-02 0.2054548485E-03 -0.2003046821E+02 -0.8151102703E-03
0.8672132808E-04 -0.1319446208E-02 0.2122508815E-03 -0.2002994717E+02 -0.8420724784E-03
0.8952128290E-04 -0.1361893938E-02 0.2191037848E-03 -0.2002950173E+02 -0.8692603104E-03
0.9234466817E-04 -0.1404690840E-02 0.2260140341E-03 -0.2002913672E+02 -0.8966756543E-03
0.9519167996E-04 -0.1447839849E-02 0.2329821095E-03 -0.2002885525E+02 -0.9243204139E-03
0.9806251598E-04 -0.1491343921E-02 0.2400084948E-03 -0.2002865885E+02 -0.9521965092E-03
0.1009573756E-03 -0.1535206031E-02 0.2470936779E-03 -0.2002854775E+02 -0.9803058758E-03
0.1038764598E-03 -0.1579429178E-02 0.2542381509E-03 -0.2002852099E+02 -0.1008650466E-02
0.1068199714E-03 -0.1624016380E-02 0.2614424100E-03 -0.2002857665E+02 -0.1037232248E-02
0.1097881147E-03 -0.1668970679E-02 0.2687069553E-03 -0.2002871198E+02 -0.1066053206E-02
0.1127810959E-03 -0.1714295139E-02 0.2760322915E-03 -0.2002892357E+02 -0.1095115343E-02
0.1157991229E-03 -0.1759992846E-02 0.2834189272E-03 -0.2002920745E+02 -0.1124420676E-02
0.1188424051E-03 -0.1806066909E-02 0.2908673754E-03 -0.2002955926E+02 -0.1153971241E-02
0.1219111540E-03 -0.1852520461E-02 0.2983781533E-03 -0.2002997430E+02 -0.1183769089E-02
0.1250055826E-03 -0.1899356658E-02 0.3059517825E-03 -0.2003044767E+02 -0.1213816291E-02
0.1281259059E-03 -0.1946578681E-02 0.3135887889E-03 -0.2003097433E+02 -0.1244114931E-02
0.1312723405E-03 -0.1994189735E-02 0.3212897030E-03 -0.2003154918E+02 -0.1274667116E-02
0.1344451050E-03 -0.2042193048E-02 0.3290550595E-03 -0.2003216711E+02 -0.1305474966E-02
0.1376444197E-03 -0.2090591875E-02 0.3368853977E-03 -0.2003282308E+02 -0.1336540620E-02
0.1408705067E-03 -0.2139389495E-02 0.3447812613E-03 -0.2003351212E+02 -0.1367866237E-02
0.1441235901E-03 -0.2188589211E-02 0.3527431987E-03 -0.2003422943E+02 -0.1399453991E-02
0.1474038958E-03 -0.2238194355E-02 0.3607717627E-03 -0.2003497036E+02 -0.1431306076E-02
