# Atomic ae- and pseudo- wavefunctions
#local 1
#l=0 r_rec=2.00
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 -0.1720000000E+03 -0.1720000000E+03
0.2411927384E-06 -0.5219738412E-04 0.4956368348E-07 -0.1719996689E+03 0.1033766676E-05
0.4844038143E-06 -0.1039296124E-03 0.9954212341E-07 -0.1719990105E+03 0.2076184068E-05
0.7296501175E-06 -0.1557546046E-03 0.1499387905E-06 -0.1719974547E+03 0.3127324568E-05
0.9769486791E-06 -0.2077906089E-03 0.2007571846E-06 -0.1719976396E+03 0.4187261171E-05
0.1226316673E-05 -0.2568119018E-03 0.2520008348E-06 -0.1720015927E+03 0.5256067486E-05
0.1477771416E-05 -0.3020104841E-03 0.3036732996E-06 -0.1719958324E+03 0.6333817734E-05
0.1731330370E-05 -0.3458841018E-03 0.3557781675E-06 -0.1719973882E+03 0.7420586760E-05
0.1987011145E-05 -0.3881570669E-03 0.4083190568E-06 -0.1719963299E+03 0.8516450035E-05
0.2244831495E-05 -0.4293179580E-03 0.4612996163E-06 -0.1719959980E+03 0.9621483661E-05
0.2504809325E-05 -0.4695784182E-03 0.5147235252E-06 -0.1719955388E+03 0.1073576438E-04
0.2766962689E-05 -0.5091023416E-03 0.5685944935E-06 -0.1719950872E+03 0.1185936956E-04
0.3031309792E-05 -0.5480114793E-03 0.6229162622E-06 -0.1719946346E+03 0.1299237725E-04
0.3297868992E-05 -0.5864019332E-03 0.6776926038E-06 -0.1719941799E+03 0.1413486611E-04
0.3566658800E-05 -0.6243505949E-03 0.7329273222E-06 -0.1719937231E+03 0.1528691550E-04
0.3837697882E-05 -0.6619203967E-03 0.7886242530E-06 -0.1719932641E+03 0.1644860541E-04
0.4111005060E-05 -0.6991637029E-03 0.8447872643E-06 -0.1719928026E+03 0.1762001652E-04
0.4386599315E-05 -0.7361247236E-03 0.9014202562E-06 -0.1719923386E+03 0.1880123018E-04
0.4664499784E-05 -0.7728412537E-03 0.9585271616E-06 -0.1719918720E+03 0.1999232841E-04
0.4944725766E-05 -0.8093459593E-03 0.1016111946E-05 -0.1719914027E+03 0.2119339393E-04
0.5227296723E-05 -0.8456673458E-03 0.1074178609E-05 -0.1719909305E+03 0.2240451015E-04
0.5512232276E-05 -0.8818305020E-03 0.1132731183E-05 -0.1719904554E+03 0.2362576118E-04
0.5799552213E-05 -0.9178576784E-03 0.1191773733E-05 -0.1719899774E+03 0.2485723182E-04
0.6089276487E-05 -0.9537687453E-03 0.1251310361E-05 -0.1719894963E+03 0.2609900759E-04
0.6381425218E-05 -0.9895815583E-03 0.1311345200E-05 -0.1719890121E+03 0.2735117474E-04
0.6676018693E-05 -0.1025312254E-02 0.1371882419E-05 -0.1719885247E+03 0.2861382021E-04
0.6973077372E-05 -0.1060975493E-02 0.1432926224E-05 -0.1719880340E+03 0.2988703169E-04
0.7272621884E-05 -0.1096584656E-02 0.1494480852E-05 -0.1719875401E+03 0.3117089759E-04
0.7574673029E-05 -0.1132152013E-02 0.1556550579E-05 -0.1719870428E+03 0.3246550708E-04
0.7879251784E-05 -0.1167688862E-02 0.1619139714E-05 -0.1719865421E+03 0.3377095006E-04
0.8186379301E-05 -0.1203205643E-02 0.1682252606E-05 -0.1719860379E+03 0.3508731719E-04
0.8496076907E-05 -0.1238712042E-02 0.1745893635E-05 -0.1719855302E+03 0.3641469987E-04
0.8808366110E-05 -0.1274217070E-02 0.1810067222E-05 -0.1719850190E+03 0.3775319030E-04
0.9123268597E-05 -0.1309729143E-02 0.1874777824E-05 -0.1719845042E+03 0.3910288142E-04
0.9440806235E-05 -0.1345256142E-02 0.1940029933E-05 -0.1719839857E+03 0.4046386696E-04
0.9761001077E-05 -0.1380805465E-02 0.2005828083E-05 -0.1719834635E+03 0.4183624143E-04
0.1008387536E-04 -0.1416384081E-02 0.2072176841E-05 -0.1719829375E+03 0.4322010014E-04
0.1040945150E-04 -0.1451998565E-02 0.2139080815E-05 -0.1719824078E+03 0.4461553920E-04
0.1073775211E-04 -0.1487655141E-02 0.2206544653E-05 -0.1719818742E+03 0.4602265549E-04
0.1106880000E-04 -0.1523359712E-02 0.2274573038E-05 -0.1719813368E+03 0.4744154676E-04
0.1140261814E-04 -0.1559117886E-02 0.2343170695E-05 -0.1719807954E+03 0.4887231152E-04
0.1173922972E-04 -0.1594935007E-02 0.2412342387E-05 -0.1719802501E+03 0.5031504913E-04
0.1207865812E-04 -0.1630816172E-02 0.2482092919E-05 -0.1719797007E+03 0.5176985980E-04
0.1242092691E-04 -0.1666766259E-02 0.2552427134E-05 -0.1719791473E+03 0.5323684454E-04
0.1276605985E-04 -0.1702789936E-02 0.2623349916E-05 -0.1719785898E+03 0.5471610523E-04
0.1311408092E-04 -0.1738891685E-02 0.2694866191E-05 -0.1719780282E+03 0.5620774461E-04
0.1346501429E-04 -0.1775075814E-02 0.2766980925E-05 -0.1719774624E+03 0.5771186624E-04
0.1381888431E-04 -0.1811346470E-02 0.2839699126E-05 -0.1719768923E+03 0.5922857460E-04
0.1417571558E-04 -0.1847707650E-02 0.2913025844E-05 -0.1719763180E+03 0.6075797500E-04
0.1453553286E-04 -0.1884163217E-02 0.2986966171E-05 -0.1719757394E+03 0.6230017366E-04
0.1489836115E-04 -0.1920716905E-02 0.3061525242E-05 -0.1719751564E+03 0.6385527767E-04
0.1526422565E-04 -0.1957372329E-02 0.3136708235E-05 -0.1719745691E+03 0.6542339503E-04
0.1563315175E-04 -0.1994132997E-02 0.3212520371E-05 -0.1719739773E+03 0.6700463463E-04
0.1600516508E-04 -0.2031002313E-02 0.3288966914E-05 -0.1719733810E+03 0.6859910629E-04
0.1638029147E-04 -0.2067983586E-02 0.3366053173E-05 -0.1719727802E+03 0.7020692073E-04
0.1675855699E-04 -0.2105080038E-02 0.3443784502E-05 -0.1719721749E+03 0.7182818960E-04
0.1713998788E-04 -0.2142294806E-02 0.3522166298E-05 -0.1719715649E+03 0.7346302550E-04
0.1752461064E-04 -0.2179630953E-02 0.3601204005E-05 -0.1719709504E+03 0.7511154196E-04
0.1791245199E-04 -0.2217091467E-02 0.3680903112E-05 -0.1719703311E+03 0.7677385345E-04
0.1830353886E-04 -0.2254679271E-02 0.3761269153E-05 -0.1719697071E+03 0.7845007541E-04
0.1869789839E-04 -0.2292397224E-02 0.3842307709E-05 -0.1719690783E+03 0.8014032426E-04
0.1909555799E-04 -0.2330248126E-02 0.3924024409E-05 -0.1719684447E+03 0.8184471737E-04
0.1949654527E-04 -0.2368234722E-02 0.4006424926E-05 -0.1719678063E+03 0.8356337310E-04
0.1990088806E-04 -0.2406359705E-02 0.4089514983E-05 -0.1719671629E+03 0.8529641080E-04
0.2030861446E-04 -0.2444625719E-02 0.4173300350E-05 -0.1719665146E+03 0.8704395082E-04
0.2071975278E-04 -0.2483035365E-02 0.4257786847E-05 -0.1719658614E+03 0.8880611453E-04
0.2113433156E-04 -0.2521591198E-02 0.4342980339E-05 -0.1719652031E+03 0.9058302428E-04
0.2155237960E-04 -0.2560295734E-02 0.4428886743E-05 -0.1719645397E+03 0.9237480349E-04
0.2197392593E-04 -0.2599151453E-02 0.4515512025E-05 -0.1719638712E+03 0.9418157659E-04
0.2239899983E-04 -0.2638160798E-02 0.4602862200E-05 -0.1719631976E+03 0.9600346903E-04
0.2282763081E-04 -0.2677326178E-02 0.4690943335E-05 -0.1719625187E+03 0.9784060735E-04
0.2325984863E-04 -0.2716649974E-02 0.4779761547E-05 -0.1719618346E+03 0.9969311912E-04
0.2369568332E-04 -0.2756134534E-02 0.4869323002E-05 -0.1719611452E+03 0.1015611330E-03
0.2413516515E-04 -0.2795782182E-02 0.4959633922E-05 -0.1719604505E+03 0.1034447787E-03
0.2457832462E-04 -0.2835595214E-02 0.5050700577E-05 -0.1719597503E+03 0.1053441870E-03
0.2502519252E-04 -0.2875575902E-02 0.5142529292E-05 -0.1719590448E+03 0.1072594899E-03
0.2547579988E-04 -0.2915726497E-02 0.5235126444E-05 -0.1719583338E+03 0.1091908203E-03
0.2593017799E-04 -0.2956049226E-02 0.5328498462E-05 -0.1719576172E+03 0.1111383124E-03
0.2638835840E-04 -0.2996546298E-02 0.5422651832E-05 -0.1719568951E+03 0.1131021014E-03
0.2685037294E-04 -0.3037219903E-02 0.5517593092E-05 -0.1719561674E+03 0.1150823236E-03
0.2731625369E-04 -0.3078072214E-02 0.5613328834E-05 -0.1719554340E+03 0.1170791167E-03
0.2778603299E-04 -0.3119105386E-02 0.5709865708E-05 -0.1719546949E+03 0.1190926193E-03
0.2825974349E-04 -0.3160321560E-02 0.5807210417E-05 -0.1719539501E+03 0.1211229711E-03
0.2873741806E-04 -0.3201722863E-02 0.5905369721E-05 -0.1719531995E+03 0.1231703132E-03
0.2921908989E-04 -0.3243311408E-02 0.6004350438E-05 -0.1719524430E+03 0.1252347878E-03
0.2970479242E-04 -0.3285089295E-02 0.6104159440E-05 -0.1719516806E+03 0.1273165383E-03
0.3019455938E-04 -0.3327058614E-02 0.6204803659E-05 -0.1719509123E+03 0.1294157091E-03
0.3068842479E-04 -0.3369221444E-02 0.6306290084E-05 -0.1719501380E+03 0.1315324461E-03
0.3118642293E-04 -0.3411579852E-02 0.6408625763E-05 -0.1719493577E+03 0.1336668964E-03
0.3168858841E-04 -0.3454135898E-02 0.6511817802E-05 -0.1719485713E+03 0.1358192080E-03
0.3219495608E-04 -0.3496891634E-02 0.6615873369E-05 -0.1719477787E+03 0.1379895304E-03
0.3270556111E-04 -0.3539849103E-02 0.6720799688E-05 -0.1719469800E+03 0.1401780145E-03
0.3322043896E-04 -0.3583010340E-02 0.6826604046E-05 -0.1719461750E+03 0.1423848121E-03
0.3373962539E-04 -0.3626377376E-02 0.6933293792E-05 -0.1719453638E+03 0.1446100766E-03
0.3426315645E-04 -0.3669952233E-02 0.7040876333E-05 -0.1719445462E+03 0.1468539624E-03
0.3479106849E-04 -0.3713736932E-02 0.7149359142E-05 -0.1719437222E+03 0.1491166254E-03
0.3532339819E-04 -0.3757733485E-02 0.7258749751E-05 -0.1719428918E+03 0.1513982227E-03
0.3586018250E-04 -0.3801943902E-02 0.7369055758E-05 -0.1719420549E+03 0.1536989127E-03
0.3640145870E-04 -0.3846370188E-02 0.7480284822E-05 -0.1719412115E+03 0.1560188553E-03
0.3694726439E-04 -0.3891014346E-02 0.7592444668E-05 -0.1719403615E+03 0.1583582115E-03
0.3749763746E-04 -0.3935878377E-02 0.7705543084E-05 -0.1719395048E+03 0.1607171438E-03
0.3805261613E-04 -0.3980964276E-02 0.7819587926E-05 -0.1719386415E+03 0.1630958160E-03
0.3861223896E-04 -0.4026274039E-02 0.7934587112E-05 -0.1719377714E+03 0.1654943933E-03
0.3917654479E-04 -0.4071809661E-02 0.8050548628E-05 -0.1719368945E+03 0.1679130422E-03
0.3974557281E-04 -0.4117573133E-02 0.8167480528E-05 -0.1719360108E+03 0.1703519308E-03
0.4031936256E-04 -0.4163566448E-02 0.8285390933E-05 -0.1719351202E+03 0.1728112284E-03
0.4089795386E-04 -0.4209791598E-02 0.8404288029E-05 -0.1719342226E+03 0.1752911057E-03
0.4148138690E-04 -0.4256250573E-02 0.8524180075E-05 -0.1719333179E+03 0.1777917350E-03
0.4206970220E-04 -0.4302945366E-02 0.8645075395E-05 -0.1719324063E+03 0.1803132900E-03
0.4266294061E-04 -0.4349877969E-02 0.8766982386E-05 -0.1719314875E+03 0.1828559457E-03
0.4326114332E-04 -0.4397050376E-02 0.8889909513E-05 -0.1719305615E+03 0.1854198788E-03
0.4386435189E-04 -0.4444464581E-02 0.9013865313E-05 -0.1719296283E+03 0.1880052672E-03
0.4447260821E-04 -0.4492122579E-02 0.9138858394E-05 -0.1719286878E+03 0.1906122906E-03
0.4508595450E-04 -0.4540026371E-02 0.9264897436E-05 -0.1719277400E+03 0.1932411300E-03
0.4570443337E-04 -0.4588177954E-02 0.9391991192E-05 -0.1719267848E+03 0.1958919678E-03
0.4632808776E-04 -0.4636579332E-02 0.9520148488E-05 -0.1719258221E+03 0.1985649883E-03
0.4695696099E-04 -0.4685232510E-02 0.9649378224E-05 -0.1719248519E+03 0.2012603770E-03
0.4759109672E-04 -0.4734139496E-02 0.9779689374E-05 -0.1719238741E+03 0.2039783212E-03
0.4823053900E-04 -0.4783302300E-02 0.9911090987E-05 -0.1719228887E+03 0.2067190095E-03
0.4887533223E-04 -0.4832722937E-02 0.1004359219E-04 -0.1719218956E+03 0.2094826323E-03
0.4952552119E-04 -0.4882403426E-02 0.1017720218E-04 -0.1719208947E+03 0.2122693815E-03
0.5018115103E-04 -0.4932345787E-02 0.1031193024E-04 -0.1719198861E+03 0.2150794507E-03
0.5084226728E-04 -0.4982552046E-02 0.1044778573E-04 -0.1719188695E+03 0.2179130349E-03
0.5150891585E-04 -0.5033024234E-02 0.1058477808E-04 -0.1719178451E+03 0.2207703311E-03
0.5218114303E-04 -0.5083764385E-02 0.1072291679E-04 -0.1719168126E+03 0.2236515375E-03
0.5285899552E-04 -0.5134774537E-02 0.1086221148E-04 -0.1719157721E+03 0.2265568542E-03
0.5354252038E-04 -0.5186056734E-02 0.1100267180E-04 -0.1719147235E+03 0.2294864832E-03
0.5423176508E-04 -0.5237613025E-02 0.1114430752E-04 -0.1719136667E+03 0.2324406277E-03
0.5492677748E-04 -0.5289445465E-02 0.1128712846E-04 -0.1719126017E+03 0.2354194929E-03
0.5562760585E-04 -0.5341556111E-02 0.1143114456E-04 -0.1719115283E+03 0.2384232857E-03
0.5633429886E-04 -0.5393947028E-02 0.1157636580E-04 -0.1719104466E+03 0.2414522147E-03
0.5704690559E-04 -0.5446620288E-02 0.1172280228E-04 -0.1719093565E+03 0.2445064903E-03
0.5776547551E-04 -0.5499577966E-02 0.1187046415E-04 -0.1719082578E+03 0.2475863245E-03
0.5849005854E-04 -0.5552822144E-02 0.1201936169E-04 -0.1719071507E+03 0.2506919312E-03
0.5922070500E-04 -0.5606354911E-02 0.1216950522E-04 -0.1719060348E+03 0.2538235261E-03
0.5995746561E-04 -0.5660178361E-02 0.1232090518E-04 -0.1719049103E+03 0.2569813267E-03
0.6070039154E-04 -0.5714294595E-02 0.1247357207E-04 -0.1719037770E+03 0.2601655522E-03
0.6144953440E-04 -0.5768705721E-02 0.1262751651E-04 -0.1719026349E+03 0.2633764239E-03
0.6220494619E-04 -0.5823413853E-02 0.1278274917E-04 -0.1719014839E+03 0.2666141645E-03
0.6296667939E-04 -0.5878421112E-02 0.1293928085E-04 -0.1719003239E+03 0.2698789991E-03
0.6373478688E-04 -0.5933729625E-02 0.1309712241E-04 -0.1718991549E+03 0.2731711543E-03
0.6450932202E-04 -0.5989341530E-02 0.1325628481E-04 -0.1718979767E+03 0.2764908588E-03
0.6529033858E-04 -0.6045258967E-02 0.1341677910E-04 -0.1718967894E+03 0.2798383431E-03
0.6607789081E-04 -0.6101484087E-02 0.1357861643E-04 -0.1718955929E+03 0.2832138396E-03
0.6687203340E-04 -0.6158019046E-02 0.1374180805E-04 -0.1718943870E+03 0.2866175828E-03
0.6767282149E-04 -0.6214866011E-02 0.1390636528E-04 -0.1718931717E+03 0.2900498090E-03
0.6848031070E-04 -0.6272027152E-02 0.1407229954E-04 -0.1718919469E+03 0.2935107566E-03
0.6929455710E-04 -0.6329504652E-02 0.1423962237E-04 -0.1718907126E+03 0.2970006660E-03
0.7011561724E-04 -0.6387300697E-02 0.1440834539E-04 -0.1718894686E+03 0.3005197795E-03
0.7094354814E-04 -0.6445417486E-02 0.1457848030E-04 -0.1718882150E+03 0.3040683414E-03
0.7177840728E-04 -0.6503857221E-02 0.1475003893E-04 -0.1718869516E+03 0.3076465982E-03
0.7262025266E-04 -0.6562622116E-02 0.1492303318E-04 -0.1718856783E+03 0.3112547985E-03
0.7346914273E-04 -0.6621714392E-02 0.1509747508E-04 -0.1718843951E+03 0.3148931927E-03
0.7432513643E-04 -0.6681136278E-02 0.1527337674E-04 -0.1718831018E+03 0.3185620335E-03
0.7518829323E-04 -0.6740890013E-02 0.1545075036E-04 -0.1718817985E+03 0.3222615758E-03
0.7605867305E-04 -0.6800977844E-02 0.1562960828E-04 -0.1718804850E+03 0.3259920764E-03
0.7693633634E-04 -0.6861402026E-02 0.1580996291E-04 -0.1718791612E+03 0.3297537944E-03
0.7782134405E-04 -0.6922164823E-02 0.1599182677E-04 -0.1718778271E+03 0.3335469910E-03
