# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.80
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 -0.1080000000E+03 -0.1080000000E+03
0.3841217685E-06 0.1737939926E-04 0.7525817053E-07 -0.1079996752E+03 0.2173984325E-05
0.7714579264E-06 0.3478585729E-04 0.1511461129E-06 -0.1079996191E+03 0.4366160882E-05
0.1162035372E-05 0.5229283096E-04 0.2276690971E-06 -0.1079997857E+03 0.6576681906E-05
0.1555881230E-05 0.6991661283E-04 0.3048324373E-06 -0.1079992325E+03 0.8805700906E-05
0.1953022849E-05 0.8721187659E-04 0.3826414920E-06 -0.1079969079E+03 0.1105337268E-04
0.2353487810E-05 0.1040985922E-03 0.4611016648E-06 -0.1079991748E+03 0.1331985331E-04
0.2757303923E-05 0.1208921215E-03 0.5402184043E-06 -0.1079979659E+03 0.1560530019E-04
0.3164499230E-05 0.1375510785E-03 0.6199972046E-06 -0.1079979927E+03 0.1790987204E-04
0.3575102010E-05 0.1541404801E-03 0.7004436061E-06 -0.1079976740E+03 0.2023372890E-04
0.3989140776E-05 0.1706874456E-03 0.7815631954E-06 -0.1079974122E+03 0.2257703215E-04
0.4406644282E-05 0.1872138250E-03 0.8633616057E-06 -0.1079971452E+03 0.2493994452E-04
0.4827641520E-05 0.2037359889E-03 0.9458445176E-06 -0.1079968756E+03 0.2732263010E-04
0.5252161728E-05 0.2202671630E-03 0.1029017659E-05 -0.1079966044E+03 0.2972525435E-04
0.5680234385E-05 0.2368181415E-03 0.1112886806E-05 -0.1079963313E+03 0.3214798413E-04
0.6111889220E-05 0.2533979594E-03 0.1197457783E-05 -0.1079960563E+03 0.3459098767E-04
0.6547156207E-05 0.2700143101E-03 0.1282736462E-05 -0.1079957793E+03 0.3705443465E-04
0.6986065576E-05 0.2866738478E-03 0.1368728767E-05 -0.1079955004E+03 0.3953849612E-04
0.7428647804E-05 0.3033824045E-03 0.1455440668E-05 -0.1079952196E+03 0.4204334460E-04
0.7874933628E-05 0.3201451519E-03 0.1542878187E-05 -0.1079949367E+03 0.4456915403E-04
0.8324954040E-05 0.3369667234E-03 0.1631047398E-05 -0.1079946519E+03 0.4711609982E-04
0.8778740291E-05 0.3538513086E-03 0.1719954421E-05 -0.1079943650E+03 0.4968435884E-04
0.9236323894E-05 0.3708027271E-03 0.1809605432E-05 -0.1079940761E+03 0.5227410945E-04
0.9697736627E-05 0.3878244868E-03 0.1900006656E-05 -0.1079937851E+03 0.5488553148E-04
0.1016301053E-04 0.4049198313E-03 0.1991164372E-05 -0.1079934921E+03 0.5751880628E-04
0.1063217792E-04 0.4220917783E-03 0.2083084909E-05 -0.1079931970E+03 0.6017411673E-04
0.1110527137E-04 0.4393431505E-03 0.2175774651E-05 -0.1079928999E+03 0.6285164723E-04
0.1158232374E-04 0.4566766021E-03 0.2269240035E-05 -0.1079926006E+03 0.6555158370E-04
0.1206336816E-04 0.4740946409E-03 0.2363487551E-05 -0.1079922993E+03 0.6827411366E-04
0.1254843803E-04 0.4915996459E-03 0.2458523746E-05 -0.1079919958E+03 0.7101942616E-04
0.1303756703E-04 0.5091938834E-03 0.2554355217E-05 -0.1079916902E+03 0.7378771185E-04
